source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
PunkerWannaBe,bestjaegerpilot,2,,co_negative_target,0.8164965809277261
bestjaegerpilot,onebtcisonebtc,2,,co_negative_target,0.4714045207910317
Biggie_Nuf,bryanchicken,2,,co_negative_target,0.4082482904638631
TechHonie,bestjaegerpilot,2,,co_negative_target,0.3998064425234855
Biggie_Nuf,onebtcisonebtc,2,,co_negative_target,0.3849001794597505
PunkerWannaBe,onebtcisonebtc,2,,co_negative_target,0.3849001794597505
jamesnaranja90,onebtcisonebtc,2,,co_negative_target,0.3849001794597505
bestjaegerpilot,sixty9shadesofj,2,,co_negative_target,0.3535533905932738
MatchboxVader22,onebtcisonebtc,2,,co_negative_target,0.3333333333333333
PunkerWannaBe,TechHonie,2,,co_negative_target,0.3264405933533033
PunkerWannaBe,sixty9shadesofj,2,,co_negative_target,0.2886751345948128
bryanchicken,onebtcisonebtc,2,,co_negative_target,0.2357022603955158
